issues,split,source_dataset,annotation_source,text_status,filename,primary_caption,n_captions
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Blue_Wildebeest_Juvenile_blue_wildebeest_juvenile__animationnotmotionextractedbehaviour_manisete1d7cafa__blue_wildebeest_juvenile_standgimmick01_87.npy,The juvenile blue wildebeest stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Capuchin_Monkey_Male_capuchin_monkey_male__animationnotmotionextractedbehaviour_maniset273ded7e__capuchin_monkey_male_gimmick_168.npy,The male capuchin monkey performs a playful gimmick by leaping and then somersaulting,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Dingo_Female_dingo_female__animationmotionextractedfighting_manisetc6604663__dingo_female_standgimmick_5.npy,The female dingo stands still as part of her gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Indian_Elephant_Female_indian_elephant_female__animationnotmotionextractedfighting_manisetce9752dd__indian_elephant_female_standgimmick01_128.npy,The female Indian elephant stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Meerkat_Juvenile_meerkat_juvenile__animationnotmotionextractedlocomotion_maniset9f3e78c0__meerkat_juvenile_gimmickloop02_161.npy,The juvenile meerkat performs a playful gimmick by scampering around and then pausing to look up inquisitively,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Meerkat_Male_meerkat_male__animationmotionextractedbehaviour_maniset5f721adf__meerkat_male_burrowgimmick_1.npy,The male meerkat performs a burrow gimmick by darting in and out of the entrance,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Meerkat_Male_meerkat_male__animationnotmotionextractedlocomotion_maniset8d623e1d__meerkat_male_standtogimmickloop_173.npy,The male meerkat stands still to gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_North_American_Beaver_Juvenile_north_american_beaver_juvenile__animationnotmotionextractedfighting_maniset89bc070d__north_american_beaver_juvenile_gimmick_158.npy,The juvenile American beaver swims in a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Prairie_Dog_Male_prairie_dog_male__animationnotmotionextractedbehaviour_maniseta0ee1e22__prairie_dog_male_standtogimmickloop_85.npy,The male prairie dog stands still to gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Red_Fox_Juvenile_red_fox_juvenile__animationnotmotionextractedfighting_maniset3f9bb538__red_fox_juvenile_gimmick01_68.npy,The juvenile red fox performs a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Saiga_Female_saiga_female__animationnotmotionextractedbehaviour_manisetfe131869__saiga_female_gimmick_74.npy,The female saiga performs a unique gimmicklike movement,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Scimitar_Horned_Oryx_Male_scimitar_horned_oryx_male__animationnotmotionextractedbehaviour_maniset617be95b__scimitar_horned_oryx_male_standgimmick01_59.npy,The male horned oryx stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Somali_Wild_Ass_Male_somali_wild_ass_male__animationnotmotionextractedfighting_maniset6fedd2c5__somali_wild_ass_male_gimmick_291.npy,The male wild ass performs a playful gimmick by trotting in circles,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Standard_Donkey_Male_standard_donkey_male__animationmotionextractedlocomotion_maniset6569664c__standard_donkey_male_gimmick_99.npy,The male standard donkey performs a playful gimmick by trotting in circles,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Takin_Male_takin_male__animationnotmotionextractedfighting_maniset4360f71__takin_male_standgimmick01_316.npy,The male takin stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Tasmanian_Devil_Female_tasmanian_devil_female__animationnotmotionextractedbehaviour_maniset2c94a132__tasmanian_devil_female_standgimmick_163.npy,The female Tasmanian devil stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,PZ_Tasmanian_Devil_Female_tasmanian_devil_female__animationnotmotionextractedfighting_maniset3d18a08__tasmanian_devil_female_standgimmick_244.npy,The female Tasmanian devil stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,Centipede___Take_001_200.npy,A centipede performs a short take 001 movement.,6
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,Elephant___Take_001_315.npy,An elephant performs a short take 001 movement.,6
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,HermitCrab___Take_001_411.npy,A hermit crab performs a short take 001 movement.,6
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Aardvark_Female_aardvark_female__animationnotmotionextractedbehaviour_maniset1b75d874__aardvark_female_standgimmick01_67.npy,The female aardvark stands still as part of her gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Aardvark_Juvenile_aardvark_juvenile__animationnotmotionextractedbehaviour_maniset828910c__aardvark_juvenile_standgimmick01_63.npy,The juvenile aardvark stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Aardvark_Male_aardvark_male__animationnotmotionextractedbehaviour_maniset32599729__aardvark_male_standgimmick01_71.npy,The male aardvark stands still as part of its gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Addax_Female_addax_female__animationnotmotionextractedbehaviour_maniset743be96__addax_female_standgimmick01_66.npy,The female addax stands still and then performs a small playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Addax_Juvenile_addax_juvenile__animationnotmotionextractedbehaviour_maniset1f0887ae__addax_juvenile_standgimmick01_64.npy,The juvenile addax stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Addax_Male_addax_male__animationnotmotionextractedbehaviour_manisetd7d38ccb__addax_male_standgimmick01_67.npy,The male addax stands still and then performs a small playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Buffalo_Female_african_buffalo_female__animationnotmotionextractedbehaviour_maniset43f7d795__african_buffalo_female_standgimmick01_71.npy,The female African buffalo stands still as a defensive gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Buffalo_Juvenile_african_buffalo_juvenile__animationnotmotionextractedbehaviour_maniset5926dc6d__african_buffalo_juvenile_standgimmick01_63.npy,The juvenile African buffalo stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Buffalo_Male_african_buffalo_male__animationnotmotionextractedbehaviour_maniset425f5a0a__african_buffalo_male_standgimmick01_71.npy,The male African buffalo stands still as a defensive gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Crested_Porcupine_Male_african_crested_porcupine_male__animationmotionextractedbehaviour_manisetd7be7d8f__african_crested_porcupine_male_gimmick_75.npy,The male crested porcupine performs a quirky gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Crested_Porcupine_Male_african_crested_porcupine_male__animationnotmotionextractedbehaviour_manisetb71cfd1__african_crested_porcupine_male_gimmick_293.npy,The male crested porcupine performs a quirky gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Elephant_Female_african_elephant_female__animationnotmotionextractedbehaviour_maniset5f542cc9__african_elephant_female_standgimmick01_56.npy,The female African elephant stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Elephant_Female_african_elephant_female__animationnotmotionextractedbehaviour_maniset5f542cc9__african_elephant_female_standgimmick02_57.npy,The female African elephant stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Elephant_Male_african_elephant_male__animationnotmotionextractedbehaviour_maniset607cd23e__african_elephant_male_standgimmick01_70.npy,The male African elephant stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Elephant_Male_african_elephant_male__animationnotmotionextractedbehaviour_maniset607cd23e__african_elephant_male_standgimmick02_71.npy,The male African elephant stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Wild_Dog_Female_african_wild_dog_female__animationnotmotionextractedbehaviour_maniset1f3d1162__african_wild_dog_female_standgimmick01_71.npy,The female wild dog stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_African_Wild_Dog_Juvenile_african_wild_dog_juvenile__animationnotmotionextractedbehaviour_maniset1aa1bd7a__african_wild_dog_juvenile_standgimmick01_66.npy,The juvenile wild dog stands still as a gimmick,1
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alaskan_Moose_Female_alaskan_moose_female__animationnotmotionextractedbehaviour_manisetd6bb44c8__alaskan_moose_female_standgimmick01_57.npy,The female Alaskan moose stands still as a clever gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alaskan_Moose_Juvenile_alaskan_moose_juvenile__animationnotmotionextractedbehaviour_manisetaa7a6260__alaskan_moose_juvenile_standgimmick01_54.npy,The juvenile Alaskan moose stands still as a clever gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alpaca_Juvenile_alpaca_juvenile__animationnotmotionextractedbehaviour_maniseta03027e5__alpaca_juvenile_standgimmick01_67.npy,The juvenile alpaca stands still as part of its playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alpaca_Male_alpaca_male__animationmotionextractedbehaviour_maniset25b92680__alpaca_male_standgimmick01_34.npy,The male alpaca stands still as part of a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alpaca_Male_alpaca_male__animationnotmotionextractedbehaviour_maniset1c5da982__alpaca_male_standgimmick01_160.npy,The male alpaca stands still as part of a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alpine_Goat_Juvenile_alpine_goat_juvenile__animationnotmotionextractedbehaviour_manisetc03a4728__alpine_goat_juvenile_standgimmick01_70.npy,The juvenile alpine goat stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alpine_Goat_Male_alpine_goat_male__animationnotmotionextractedbehaviour_maniseta62c9f45__alpine_goat_male_standgimmick01_69.npy,The male alpine goat stands still as part of its gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Alpine_Ibex_Juvenile_alpine_ibex_juvenile__animationnotmotionextractedbehaviour_maniset7bb77492__alpine_ibex_juvenile_standgimmick01_63.npy,The juvenile alpine ibex stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_American_Bison_Female_american_bison_female__animationnotmotionextractedbehaviour_maniset18ec28a5__american_bison_female_standgimmick01_62.npy,The female American bison stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_American_Bison_Juvenile_american_bison_juvenile__animationnotmotionextractedbehaviour_maniset3c73b17d__american_bison_juvenile_standgimmick01_63.npy,The juvenile American bison stands still as part of a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_American_Bison_Male_american_bison_male__animationnotmotionextractedbehaviour_maniset40ec271a__american_bison_male_standgimmick01_64.npy,The male American bison stands still as a protective gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Fox_Juvenile_arctic_fox_juvenile__animationnotmotionextractedbehaviour_maniset873b1f0d__arctic_fox_juvenile_gimmick01_47.npy,The juvenile arctic fox performs a playful gimmick by leaping and then rolling over,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Fox_Juvenile_arctic_fox_juvenile__animationnotmotionextractedlocomotion_manisetddd85f09__arctic_fox_juvenile_gimmick01_106.npy,The juvenile arctic fox performs a playful gimmick by leaping and then rolling over,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Wolf_Female_arctic_wolf_female__animationnotmotionextractedbehaviour_maniset160c7f05__arctic_wolf_female_standgimmick01_87.npy,The female arctic wolf stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Wolf_Female_arctic_wolf_female__animationnotmotionextractedlocomotion_maniset66819d01__arctic_wolf_female_standgimmick01_258.npy,The female arctic wolf stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Wolf_Male_arctic_wolf_male__animationnotmotionextractedbehaviour_maniset4b43657a__arctic_wolf_male_standgimmick01_91.npy,The male arctic wolf stands still as part of its hunting gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Wolf_Male_arctic_wolf_male__animationnotmotionextractedfighting_maniset15f29c50__arctic_wolf_male_standgimmick01_172.npy,The male arctic wolf stands still as a hunting gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Arctic_Wolf_Male_arctic_wolf_male__animationnotmotionextractedlocomotion_manisetc50bf4b6__arctic_wolf_male_standgimmick01_260.npy,The male arctic wolf stands still as a hunting gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Asian_Small_Clawed_Otter_Juvenile_asian_small_clawed_otter_juvenile__animationnotmotionextractedbehaviour_manisetf336497f__asian_small_clawed_otter_juvenile_gimmick_80.npy,The juvenile clawed otter performs a playful gimmick by flipping into the water,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Asian_Small_Clawed_Otter_Juvenile_asian_small_clawed_otter_juvenile__animationnotmotionextractedfighting_maniset2162bb15__asian_small_clawed_otter_juvenile_gimmick_166.npy,The juvenile clawed otter performs a playful gimmick by flipping over and then swimming away,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Asian_Small_Clawed_Otter_Male_asian_small_clawed_otter_male__animationnotmotionextractedbehaviour_manisetb26f0e1c__asian_small_clawed_otter_male_gimmick_67.npy,The male clawed otter performs a playful gimmick by flipping over in the water,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Asian_Small_Clawed_Otter_Male_asian_small_clawed_otter_male__animationnotmotionextractedfighting_maniset777b472__asian_small_clawed_otter_male_gimmick_140.npy,The male clawed otter performs a playful gimmick by flipping and splashing in the water,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Asian_Small_Clawed_Otter_Male_asian_small_clawed_otter_male__animationnotmotionextractedlocomotion_maniseta5c44dd8__asian_small_clawed_otter_male_gimmick_214.npy,The male clawed otter performs a playful gimmick by flipping and splashing in the water,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Female_babirusa_female__animationnotmotionextractedbehaviour_maniset145163a3__babirusa_female_standgimmick01_71.npy,The female babirusa stands still and then performs a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Female_babirusa_female__animationnotmotionextractedfighting_maniset87e8fc39__babirusa_female_standgimmick01_150.npy,The female babirusa stands still as part of her gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Female_babirusa_female__animationnotmotionextractedlocomotion_maniset992211f__babirusa_female_standgimmick01_235.npy,The female babirusa stands still and then performs a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Juvenile_babirusa_juvenile__animationnotmotionextractedbehaviour_maniseta613a3fb__babirusa_juvenile_standgimmick01_75.npy,The juvenile babirusa stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Juvenile_babirusa_juvenile__animationnotmotionextractedfighting_maniset3eef4691__babirusa_juvenile_standgimmick01_159.npy,The juvenile babirusa stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Juvenile_babirusa_juvenile__animationnotmotionextractedlocomotion_maniset14e5d777__babirusa_juvenile_standgimmick01_249.npy,The juvenile babirusa stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Male_babirusa_male__animationnotmotionextractedbehaviour_manisetb32a8a98__babirusa_male_standgimmick01_71.npy,The male babirusa stands still and then performs a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Babirusa_Male_babirusa_male__animationnotmotionextractedlocomotion_manisetc350d954__babirusa_male_standgimmick01_231.npy,The male babirusa stands still and then performs a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Female_bactrian_camel_female__animationnotmotionextractedbehaviour_maniset4004ffdb__bactrian_camel_female_standgimmick01_86.npy,The female bactrian camel stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Female_bactrian_camel_female__animationnotmotionextractedlocomotion_manisetf09dab57__bactrian_camel_female_standgimmick01_258.npy,The female Bactrian camel stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Juvenile_bactrian_camel_juvenile__animationnotmotionextractedbehaviour_maniset8d1f2e33__bactrian_camel_juvenile_standgimmick01_82.npy,The juvenile bactrian camel stands still as part of its gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Juvenile_bactrian_camel_juvenile__animationnotmotionextractedlocomotion_manisetecfccfaf__bactrian_camel_juvenile_standgimmick01_244.npy,The juvenile bactrian camel stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Male_bactrian_camel_male__animationnotmotionextractedbehaviour_maniset5659b8d0__bactrian_camel_male_standgimmick01_84.npy,The male bactrian camel stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bactrian_Camel_Male_bactrian_camel_male__animationnotmotionextractedfighting_maniset43902226__bactrian_camel_male_standgimmick01_165.npy,The male bactrian camel stands still as part of a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bairds_Tapir_Female_bairds_tapir_female__animationnotmotionextractedbehaviour_manisetf2420a74__bairds_tapir_female_standgimmick01_70.npy,The female Bairds tapir stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bairds_Tapir_Female_bairds_tapir_female__animationnotmotionextractedfighting_manisetf92fbaca__bairds_tapir_female_standgimmick01_147.npy,The female Bairds tapir stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bairds_Tapir_Female_bairds_tapir_female__animationnotmotionextractedlocomotion_maniset2647c030__bairds_tapir_female_standgimmick01_229.npy,The female Bairds tapir stands still as a clever gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bairds_Tapir_Juvenile_bairds_tapir_juvenile__animationnotmotionextractedbehaviour_manisetc2c9430c__bairds_tapir_juvenile_standgimmick01_61.npy,The juvenile Bairds tapir stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bairds_Tapir_Juvenile_bairds_tapir_juvenile__animationnotmotionextractedfighting_maniset1cdfed62__bairds_tapir_juvenile_standgimmick01_132.npy,The juvenile Bairds tapir stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Bairds_Tapir_Juvenile_bairds_tapir_juvenile__animationnotmotionextractedlocomotion_maniset357f7ec8__bairds_tapir_juvenile_standgimmick01_207.npy,The juvenile Bairds tapir stands still as a gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Binturong_Female_binturong_female__animationnotmotionextractedbehaviour_maniset432cf056__binturong_female_standgimmick01_125.npy,The female binturong stands still and then performs a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Binturong_Female_binturong_female__animationnotmotionextractedfighting_maniset503c02c__binturong_female_standgimmick01_225.npy,The female binturong stands still and then performs a playful gimmick,3
SOURCE_OR_ACTION_ARTIFACT;LOW_SEMANTIC_TEMPLATE,train,animo4d_L4_safe,animo4d_official_text,present,PZ_Binturong_Female_binturong_female__animationnotmotionextractedlocomotion_maniset5d83a692__binturong_female_standgimmick01_348.npy,The female binturong stands still and then performs a playful gimmick,3
