priority,issues,split,source_dataset,annotation_source,text_status,needs_human_review,filename,primary_caption,n_captions
P1,P1_OVER_NARRATIVE;P2_ANIMAL_LEVEL_GENERIC,val,truebones,collected,present,False,Eagle___FloattUp_312.npy,An animal with large wings is floating upwards vertically.,5
P1,P1_AI_DRAFT_REMAINING;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,True,Elephant___Idle1_316.npy,An elephant holds an idle pose with small body adjustments.,6
P1,P1_AI_DRAFT_REMAINING;P1_BAD_ARTICLE_A_ANIMAL;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,True,Fox_-_Run_362.npy,A fox runs through a short gait cycle.,6
P1,P1_OVER_NARRATIVE;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,collected,present,False,KingCobra___GetUp_507.npy,An animal raises its upper body while coiling its tail.,5
P1,P1_OVER_NARRATIVE;P2_ANIMAL_LEVEL_GENERIC,val,truebones,collected,present,False,Lion___Walk_532.npy,An animal walks forward slowly with its mouth open.,5
P1,P1_AI_DRAFT_REMAINING;P1_BAD_ARTICLE_A_ANIMAL;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,True,Lynx___Idle4_552.npy,A lynx holds an idle pose with small body adjustments.,6
P1,P1_AI_DRAFT_REMAINING;P1_BAD_ARTICLE_A_ANIMAL;P2_ANIMAL_LEVEL_GENERIC;P2_GENERIC_CREATURE_CLASS,val,truebones,codex_draft_from_contact_sheets_and_action_name,codex_draft,True,Monkey___Attack4_570.npy,A monkey lunges or strikes in an attack motion.,6
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Aardvark_Female_aardvark_female__animationmotionextractedfighting_manisetee389e88__aardvark_female_fightchaseoff_2.npy,The female aardvark fights and then chases off the intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Addax_Female_addax_female__animationmotionextractedfighting_manisetadb82aa__addax_female_fightchaseoff_1.npy,The female addax fights and then chases off the intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Addax_Male_addax_male__animationnotmotionextractedfighting_maniset2efebb61__addax_male_fightvictorytaunt_83.npy,The male addax fights achieves victory and then taunts his opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Alpine_Goat_Female_alpine_goat_female__animationmotionextractedfighting_maniset9bdec1a4__alpine_goat_female_fightvictorytaunt_9.npy,The female alpine goat fights wins and then taunts her opponent,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Alpine_Goat_Female_alpine_goat_female__animationnotmotionextractedbehaviour_manisetd02b5790__alpine_goat_female_standgimmick01_70.npy,The female alpine goat stands still as a gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Amur_Leopard_Juvenile_amur_leopard_juvenile__animationmotionextractedfighting_maniset2ebd930c__amur_leopard_juvenile_fighttaunt_5.npy,The juvenile Amur leopard fights and then taunts its opponent,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Arctic_Wolf_Female_arctic_wolf_female__animationnotmotionextractedfighting_maniset2001d71b__arctic_wolf_female_standgimmick01_169.npy,The female arctic wolf stands still as a gimmick,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Asian_Small_Clawed_Otter_Juvenile_asian_small_clawed_otter_juvenile__animationnotmotionextractedlocomotion_maniset3547edfb__asian_small_clawed_otter_juvenile_gimmick_252.npy,The juvenile clawed otter performs a playful gimmick by diving into the water and then emerging with a fish,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Asian_Water_Monitor_Male_asian_water_monitor_male__animationmotionextractedbehaviour_maniset6ecdb144__asian_water_monitor_male_fightchaseoff_12.npy,The male water monitor fights and then chases off its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Asian_Water_Monitor_Male_asian_water_monitor_male__animationnotmotionextractedlocomotion_maniseta70c6982__asian_water_monitor_male_fightchaseoff_516.npy,The male water monitor fights and then chases off its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Asian_Water_Monitor_Male_asian_water_monitor_male__animationnotmotionextractedlocomotion_maniseta70c6982__asian_water_monitor_male_fighttaunt_517.npy,The male water monitor fights and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Babirusa_Juvenile_babirusa_juvenile__animationnotmotionextractedfighting_maniset3eef4691__babirusa_juvenile_fruitspiketreein_143.npy,The juvenile babirusa climbs the fruit spike tree and then enters inside,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Babirusa_Male_babirusa_male__animationnotmotionextractedfighting_manisetc0f1e1ee__babirusa_male_fightvictorytaunt_129.npy,The male babirusa engages in a fight emerges victorious and then taunts its opponent,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Babirusa_Male_babirusa_male__animationnotmotionextractedfighting_manisetc0f1e1ee__babirusa_male_standgimmick01_148.npy,The male babirusa stands still as part of its playful gimmick,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bactrian_Camel_Female_bactrian_camel_female__animationnotmotionextractedfighting_maniset2b182a71__bactrian_camel_female_standgimmick01_169.npy,The female Bactrian camel stands still as a gimmick,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bactrian_Camel_Juvenile_bactrian_camel_juvenile__animationnotmotionextractedfighting_maniset6aa2e2c9__bactrian_camel_juvenile_standgimmick01_160.npy,The juvenile bactrian camel stands still as a gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bactrian_Camel_Male_bactrian_camel_male__animationmotionextractedfighting_maniset75fe2e4__bactrian_camel_male_fightchaseoff_1.npy,The male bactrian camel fights and then chases off the intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bactrian_Camel_Male_bactrian_camel_male__animationmotionextractedlocomotion_maniset3131ca6a__bactrian_camel_male_fighttaunt_7.npy,The male bactrian camel fights and then taunts its opponent,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bactrian_Camel_Male_bactrian_camel_male__animationnotmotionextractedlocomotion_manisetef04758c__bactrian_camel_male_standgimmick01_252.npy,The male bactrian camel stands still employing a clever gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bairds_Tapir_Male_bairds_tapir_male__animationnotmotionextractedfighting_maniset35a5c83f__bairds_tapir_male_fighttaunt_128.npy,The male Bairds tapir fights and then taunts its opponent,1
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bengal_Tiger_Female_bengal_tiger_female__animationmotionextractedpounce_maniset13e1ddd6__bengal_tiger_female_fighttaunt_135.npy,The female Bengal tiger fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bengal_Tiger_Female_bengal_tiger_female__animationnotmotionextractedfighting_maniset1a246b35__bengal_tiger_female_fighttauntreact_345.npy,The female Bengal tiger fights taunts her opponent and then reacts swiftly,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bengal_Tiger_Male_bengal_tiger_male__animationmotionextractedlocomotion_manisete954492e__bengal_tiger_male_fighttaunt_36.npy,The male Bengal tiger fights and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Binturong_Juvenile_binturong_juvenile__animationnotmotionextractedfighting_maniset6dcad344__binturong_juvenile_fightvictorytaunt_231.npy,The juvenile binturong fights wins and then taunts,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Black_Rhino_Male_black_rhino_male__animationnotmotionextractedlocomotion_manisetbd3692ae__black_rhino_male_fightvictorytaunt_498.npy,The male black rhino charges forward in a victorious taunt after the fight,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Black_Wildebeest_Female_black_wildebeest_female__animationnotmotionextractedbehaviour_maniset31aeadb9__black_wildebeest_female_standgimmick01_85.npy,The female black wildebeest stands still as a gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Black_Wildebeest_Juvenile_black_wildebeest_juvenile__animationmotionextractedlocomotion_maniset4f4ea4ab__black_wildebeest_juvenile_fightchaseoff_2.npy,The juvenile black wildebeest fights and then chases off the intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Blue_Wildebeest_Female_blue_wildebeest_female__animationnotmotionextractedfighting_manisetbf8b7bb8__blue_wildebeest_female_fightchaseoff_131.npy,The female blue wildebeest fights and then chases off the intruder,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Blue_Wildebeest_Juvenile_blue_wildebeest_juvenile__animationnotmotionextractedbehaviour_manisete1d7cafa__blue_wildebeest_juvenile_standgimmick01_87.npy,The juvenile blue wildebeest stands still as a gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bongo_Female_bongo_female__animationnotmotionextractedlocomotion_maniset9765e8a3__bongo_female_fighttauntreact_219.npy,The female bongo fights taunts her opponent and then reacts swiftly,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Bongo_Juvenile_bongo_juvenile__animationnotmotionextractedlocomotion_maniset66c98ffb__bongo_juvenile_fighttaunt_193.npy,The juvenile bongo fights and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_California_Sea_Lion_Male_california_sea_lion_male__animationnotmotionextractedfighting_maniset21312b4e__california_sea_lion_male_fighttauntreact_150.npy,The male sea lion fights taunts and then reacts swiftly,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Capuchin_Monkey_Female_capuchin_monkey_female__animationnotmotionextractedbehaviour_manisetdac91809__capuchin_monkey_female_fightchaseoff_112.npy,The female capuchin monkey fights and then chases the opponent off,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Capuchin_Monkey_Male_capuchin_monkey_male__animationnotmotionextractedbehaviour_maniset273ded7e__capuchin_monkey_male_gimmick_168.npy,The male capuchin monkey performs a playful gimmick by leaping and then somersaulting,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Caracal_Juvenile_caracal_juvenile__animationmotionextractedfighting_pounce_maniset2d5e358__caracal_juvenile_fighttaunttostand_14.npy,The juvenile caracal fights and taunts before standing still,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Caracal_Male_caracal_male__animationmotionextractedfighting_manisetbd7ffca3__caracal_male_fightidle_62.npy,The male caracal fights fiercely,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Cheetah_Female_cheetah_female__animationnotmotionextractedbehaviour_manisete8e0c41d__cheetah_female_fighttaunt_192.npy,The female cheetah fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Cheetah_Juvenile_cheetah_juvenile__animationnotmotionextractedfightingpounce_maniset662de7de__cheetah_juvenile_fightchaseoff_234.npy,The juvenile cheetah fights and then chases off its rival,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Clouded_Leopard_Male_clouded_leopard_male__animationnotmotionextractedlocomotion_manisetc5b3d17b__clouded_leopard_male_fightidle_223.npy,The male clouded leopard fights fiercely,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Common_Warthog_Female_common_warthog_female__animationnotmotionextractedlocomotion_manisetb8ccc210__common_warthog_female_fighttaunt_216.npy,The female common warthog fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Cougar_Female_cougar_female__animationmotionextractedlocomotion_maniset6d07f6fc__cougar_female_fightchaseoff_36.npy,The female cougar fights and then chases off her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Cougar_Male_cougar_male__animationnotmotionextractedfighting_pounce_maniset145ff6bf__cougar_male_fighttaunttostand_373.npy,The male cougar fights taunts and then stands still,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Cuviers_Dwarf_Caiman_Female_cuviers_dwarf_caiman_female__animationnotmotionextractedbehaviour_manisetce35b0e0__cuviers_dwarf_caiman_female_fighttaunt_124.npy,The female dwarf caiman fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dall_Sheep_Female_dall_sheep_female__animationmotionextractedfighting_maniset460d1cd4__dall_sheep_female_fighttaunt_3.npy,The female Dall sheep fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dall_Sheep_Juvenile_dall_sheep_juvenile__animationmotionextractedfighting_manisetca55806c__dall_sheep_juvenile_fightchaseoff_2.npy,The juvenile Dall sheep fights and then chases off its rival,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dall_Sheep_Juvenile_dall_sheep_juvenile__animationnotmotionextractedbehaviour_maniset71b85e58__dall_sheep_juvenile_fighttaunt_68.npy,The juvenile Dall sheep fights and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dama_Gazelle_Male_dama_gazelle_male__animationnotmotionextractedfighting_manisetbbe6da89__dama_gazelle_male_fightvictorytaunt_138.npy,The male dama gazelle fights achieves victory and then taunts his opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dhole_Female_dhole_female__animationmotionextractedfighting_manisetc8b3eadb__dhole_female_fightchaseoff_2.npy,The female dhole fights and then chases off the intruder,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dingo_Female_dingo_female__animationmotionextractedfighting_manisetc6604663__dingo_female_standgimmick_5.npy,The female dingo stands still as part of her gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dingo_Female_dingo_female__animationnotmotionextractedlocomotion_maniset711a83cb__dingo_female_standtofight_95.npy,The female dingo stands still to fight,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dromedary_Camel_Female_dromedary_camel_female__animationmotionextractedfighting_maniset290e2bea__dromedary_camel_female_fighttaunt_3.npy,The female dromedary camel fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dromedary_Camel_Female_dromedary_camel_female__animationmotionextractedlocomotion_maniseta3492670__dromedary_camel_female_fighttaunt_large_8.npy,The female dromedary camel fights and then taunts the large opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dromedary_Camel_Female_dromedary_camel_female__animationmotionextractedlocomotion_maniseta3492670__dromedary_camel_female_fighttauntreact_7.npy,The female dromedary camel fights taunts and then reacts swiftly,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Dromedary_Camel_Male_dromedary_camel_male__animationnotmotionextractedbehaviour_manisetc430260b__dromedary_camel_male_fightchaseoff_large_69.npy,The male dromedary camel fights and then chases off the large intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Eurasian_Lynx_Female_eurasian_lynx_female__animationnotmotionextractedfightingpounce_maniset3d12fdae__eurasian_lynx_female_fightreacttodie_274.npy,The female Eurasian lynx fights reacts and then dies,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Eurasian_Lynx_Male_eurasian_lynx_male__animationmotionextractedpounce_maniset56e1a351__eurasian_lynx_male_fightchaseoff_122.npy,The male Eurasian lynx fights and then chases off its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_European_Fallow_Deer_Juvenile_european_fallow_deer_juvenile__animationmotionextractedfighting_manisetd0f3c6f5__european_fallow_deer_juvenile_fighttaunt_3.npy,The juvenile fallow deer fights and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Fossa_Male_fossa_male__animationmotionextractedbehaviour_maniset45a55b00__fossa_male_fighttaunt_31.npy,The male fossa fights and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Giant_Anteater_Female_giant_anteater_female__animationnotmotionextractedfighting_manisetd41fc940__giant_anteater_female_fightattack_small_104.npy,The female giant anteater fights and then attacks the small prey,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Giant_Panda_Female_giant_panda_female__animationmotionextractedlocomotion_maniset212314fa__giant_panda_female_fightchaseoff_29.npy,The female giant panda fights and then chases the intruder off,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Gray_Wolf_Female_gray_wolf_female__animationnotmotionextractedfighting_manisete010c714__gray_wolf_female_fighttaunt_116.npy,The female gray wolf fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Gray_Wolf_Male_gray_wolf_male__animationnotmotionextractedlocomotion_manisetc496c6ef__gray_wolf_male_fighttaunt_167.npy,The male gray wolf fights and then taunts his opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Highland_Cattle_Female_highland_cattle_female__animationmotionextractedlocomotion_manisetec2f65ce__highland_cattle_female_fightchaseoff_6.npy,The female highland cattle fights and then chases off the intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Indian_Elephant_Female_indian_elephant_female__animationmotionextractedlocomotion_manisetd4776161__indian_elephant_female_fightchaseoff_2.npy,The female Indian elephant fights and then chases the intruder off,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Indian_Elephant_Female_indian_elephant_female__animationnotmotionextractedfighting_manisetce9752dd__indian_elephant_female_standgimmick01_128.npy,The female Indian elephant stands still as a gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Indian_Rhinoceros_Male_indian_rhinoceros_male__animationnotmotionextractedfighting_maniset1de8da17__indian_rhinoceros_male_fighttaunt_93.npy,The male Indian rhinoceros engages in a fight and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Japanese_Macaque_Female_japanese_macaque_female__animationnotmotionextractedfighting_manisetd84f3242__japanese_macaque_female_fightchaseoff_91.npy,The female Japanese macaque fights and then chases off her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Komodo_Dragon_Female_komodo_dragon_female__animationnotmotionextractedfighting_maniset43ecf000__komodo_dragon_female_fightchaseoff_140.npy,The female komodo dragon fights and then chases off her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Komodo_Dragon_Male_komodo_dragon_male__animationmotionextractedfighting_maniset826b8973__komodo_dragon_male_fightchaseoff_1.npy,The male komodo dragon fights and then chases off its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Komodo_Dragon_Male_komodo_dragon_male__animationmotionextractedpounce_maniset501f1296__komodo_dragon_male_fightchaseoff_38.npy,The male komodo dragon fights and then chases off its opponent,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Meerkat_Juvenile_meerkat_juvenile__animationnotmotionextractedlocomotion_maniset9f3e78c0__meerkat_juvenile_gimmickloop02_161.npy,The juvenile meerkat performs a playful gimmick by scampering around and then pausing to look up inquisitively,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Meerkat_Male_meerkat_male__animationmotionextractedbehaviour_maniset5f721adf__meerkat_male_burrowgimmick_1.npy,The male meerkat performs a burrow gimmick by darting in and out of the entrance,3
P1,P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Meerkat_Male_meerkat_male__animationnotmotionextractedlocomotion_maniset8d623e1d__meerkat_male_standtogimmickloop_173.npy,The male meerkat stands still to gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Nile_Lechwe_Female_nile_lechwe_female__animationnotmotionextractedbehaviour_manisetdd9116d4__nile_lechwe_female_fightchaseoff_44.npy,The female Nile lechwe fights and then chases off the intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Nile_Lechwe_Juvenile_nile_lechwe_juvenile__animationmotionextractedfighting_manisetab0c3580__nile_lechwe_juvenile_fighttaunt_2.npy,The juvenile Nile lechwe fights and then taunts its opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Nile_Lechwe_Juvenile_nile_lechwe_juvenile__animationnotmotionextractedfighting_maniset82ef9c2__nile_lechwe_juvenile_fightchaseoff_56.npy,The juvenile Nile lechwe fights and then chases off its rival,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Nile_Lechwe_Male_nile_lechwe_male__animationmotionextractedlocomotion_maniset4ada5aa3__nile_lechwe_male_fightchaseoff_2.npy,The male Nile lechwe fights and then chases off the intruder,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Nine_Banded_Armadillo_Juvenile_nine_banded_armadillo_juvenile__animationnotmotionextractedlocomotion_maniset604a44af__nine_banded_armadillo_juvenile_fightreacttodie_188.npy,The juvenile banded armadillo fights reacts and then dies,3
P1,P1_OVER_NARRATIVE;P1_SOURCE_ACTION_ARTIFACT,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_North_American_Beaver_Juvenile_north_american_beaver_juvenile__animationnotmotionextractedfighting_maniset89bc070d__north_american_beaver_juvenile_gimmick_158.npy,The juvenile American beaver swims in a playful gimmick,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Nyala_Female_nyala_female__animationnotmotionextractedlocomotion_maniset117e3ee3__nyala_female_fighttaunt_154.npy,The female nyala fights and then taunts her opponent,3
P1,P1_OVER_NARRATIVE,val,animo4d_L4_safe,animo4d_official_text,present,False,PZ_Okapi_Female_okapi_female__animationnotmotionextractedlocomotion_maniset5eef2e55__okapi_female_fighttauntreact_169.npy,The female okapi fights taunts and then reacts swiftly,3
